READ_DATE,KWH_EXP,tavg,tmin,tmax,wdir,wspd,pres,Tavg,RH_avg,RR,ss,KWH_EXP_MA,KWH_EXP_ES,trend_ma,cycle_ma
2021-11-01,79.05886265137963,27.4,24.4,31.8,122.0,7.5,1009.9,27.1,88.0,26.2,9.4,63.60369259183167,70.45968164672132,59.04828987666285,4.5554027151688175
2021-11-02,71.12749295036942,27.6,24.0,33.3,145.0,8.3,1009.5,26.8,86.0,0.0,5.6,63.8768050525246,73.73040832192106,59.05129393813838,4.825511114386224
2021-11-03,71.01492439280139,28.6,24.0,35.0,125.0,8.3,1008.8,28.6,80.0,1.0,5.1,64.08533849952485,74.76467455447649,59.05429352163047,5.031044977894382
2021-11-04,67.41179562488921,28.2,25.5,34.2,120.0,8.2,1008.4,28.3,85.0,0.2,8.0,64.03788937305423,74.95807772336968,59.05728861979204,4.980600753262188
2021-11-05,82.31075432090776,27.1,24.7,33.6,113.0,7.0,1008.1,27.2,88.0,14.5,6.3,64.73776725958608,69.10655367580918,59.06027922532138,5.677488034264698
2021-11-06,82.71162550432783,27.8,24.0,33.0,106.0,7.8,1006.6,28.2,82.0,35.3,5.1,65.19075313108279,81.15641000221162,59.06326533096166,6.1274878001211235
2021-11-07,96.74810353637066,29.0,24.5,33.0,89.0,8.3,1005.9,28.8,81.0,9.8,9.5,66.12213260312936,85.29753141351357,59.06624692950727,7.055885673622086
2021-11-08,88.87970342207437,26.7,25.1,32.4,99.0,7.4,1007.0,27.7,89.0,5.0,11.0,67.00041334230639,90.65422177785113,59.069224013807826,7.9311893284985615
2021-11-09,99.71967664958828,28.1,24.2,33.8,118.0,7.2,1007.0,28.3,82.0,1.5,8.8,68.20895171258766,88.30197433793313,59.07219657677654,9.136755135811121
2021-11-10,113.459739621293,28.0,24.5,33.4,139.0,6.9,1007.3,26.9,89.0,9.1,7.8,69.88094400932242,102.30409701960895,59.07516461139812,10.805779397924297
2021-11-11,102.21383725737452,26.9,24.6,32.6,137.0,7.2,1007.2,26.9,88.0,3.8,7.2,71.29737126767954,106.04220242196246,59.0781281107396,12.219243156939939
