Tanggal,Tavg,RH_avg,RR,ss
2019-12-24,27.9,82.0,1.7,9.0
2019-12-25,26.8,85.0,2.0,8.1
2019-12-26,27.1,84.0,39.6,7.0
2019-12-27,28.5,78.0,24.05,7.6
2019-12-28,29.4,78.0,8.5,9.8
2019-12-29,27.4,86.0,0.0,10.5
2019-12-30,27.8,82.0,1.3,5.8
2019-12-31,27.7,82.0,0.9,6.9
2020-01-01,26.5,89.0,0.5,9.0
2020-01-02,26.7,86.0,5.5,4.1
2020-01-03,26.7,89.0,40.35,1.6
2020-01-04,26.5,94.0,75.2,2.7
2020-01-05,27.3,88.0,39.8,0.0
2020-01-06,27.2,87.0,8.1,3.4
2020-01-07,27.3,86.0,8.3,7.8
2020-01-08,25.8,90.0,8.5,6.1
2020-01-09,27.9,82.0,64.4,4.4
2020-01-10,27.6,76.0,0.0,9.0
2020-01-11,26.8,74.0,0.0,11.2
2020-01-12,27.9,82.0,1.2,7.6
2020-01-13,26.7,86.0,0.7,1.7
2020-01-14,27.6,85.0,0.2,3.6
2020-01-15,27.5,84.0,23.8,7.0
2020-01-16,27.7,81.0,26.1,7.3
2020-01-17,27.4,75.0,1.4,7.7
2020-01-18,27.0,77.0,0.0,10.8
2020-01-19,27.3,80.0,3.8,10.2
2020-01-20,27.6,79.0,1.9,9.1
2020-01-21,28.0,83.0,0.0,10.3
2020-01-22,27.7,81.0,0.0,11.6
2020-01-23,27.8,80.0,0.0,9.7
2020-01-24,27.2,86.0,34.8,9.2
2020-01-25,27.5,82.0,8.4,9.2
2020-01-26,28.5,76.0,0.0,11.1
2020-01-27,28.6,80.0,0.0,11.6
2020-01-28,28.9,78.0,0.0,11.9
2020-01-29,28.8,81.0,0.0,9.0
2020-01-30,27.4,88.0,1.5,10.0
2020-01-31,28.3,80.0,0.5,4.4
2020-02-01,26.7,88.0,0.0,4.1
2020-02-02,26.7,84.0,12.5,7.1
2020-02-03,26.9,78.0,0.0,6.0
2020-02-04,27.9,75.0,0.0,10.4
2020-02-05,27.2,76.0,0.0,10.7
2020-02-06,27.7,82.0,0.0,11.1
2020-02-07,27.8,84.0,0.0,10.4
2020-02-08,27.0,89.0,56.2,3.1
2020-02-09,26.6,86.0,0.0,4.7
2020-02-10,26.9,86.0,2.1,0.0
2020-02-11,26.0,90.0,2.6,7.8
2020-02-12,26.8,86.0,8.7,4.1
2020-02-13,26.5,88.0,0.0,10.1
2020-02-14,27.0,86.0,6.4,7.4
2020-02-15,27.4,83.0,0.0,7.1
2020-02-16,27.3,84.0,0.5,7.9
2020-02-17,26.6,87.0,0.8,9.1
2020-02-18,26.9,86.0,1.1,5.8
2020-02-19,26.5,87.0,0.0,7.9
2020-02-20,26.4,92.0,17.6,5.8
2020-02-21,26.7,91.0,27.5,0.0
2020-02-22,27.0,90.0,2.8,4.0
2020-02-23,26.9,88.0,14.1,5.7
2020-02-24,27.2,85.0,8.8,10.4
2020-02-25,27.4,86.0,3.5,10.4
2020-02-26,27.5,88.0,0.1,10.4
2020-02-27,27.3,88.0,0.0,8.1
2020-02-28,27.4,86.0,0.8,8.7
2020-02-29,27.3,91.0,18.6,9.8
2020-03-01,27.2,92.0,33.0,4.0
2020-03-02,27.2,87.0,5.0,1.6
2020-03-03,27.0,89.0,6.4,5.2
2020-03-04,26.6,90.0,8.4,8.5
2020-03-05,26.3,88.0,20.6,1.5
2020-03-06,26.1,90.0,58.0,6.4
2020-03-07,26.2,91.0,4.8,0.6
2020-03-08,26.3,88.0,3.0,2.1
2020-03-09,26.5,87.0,1.9,4.1
2020-03-10,27.9,84.0,14.15,5.5
2020-03-11,27.6,88.0,26.4,6.7
2020-03-12,27.2,86.0,0.0,6.2
2020-03-13,26.2,89.0,0.3,5.9
2020-03-14,26.7,85.0,11.2,3.4
2020-03-15,27.6,82.0,1.5,2.8
2020-03-16,26.6,84.0,0.0,10.1
2020-03-17,27.1,83.0,34.8,5.8
2020-03-18,27.4,80.0,0.0,7.2
2020-03-19,28.2,79.0,6.1,10.7
2020-03-20,27.8,77.0,0.0,11.4
2020-03-21,27.8,79.0,0.0,9.9
2020-03-22,27.2,86.0,39.2,10.2
2020-03-23,26.5,86.0,0.3,7.7
2020-03-24,27.7,83.0,27.2,7.1
2020-03-25,27.9,80.0,8.4,9.7
2020-03-26,27.7,83.0,0.0,9.8
2020-03-27,27.5,84.0,0.0,8.5
2020-03-28,28.0,78.0,1.0,3.2
2020-03-29,28.2,84.0,0.0,6.9
2020-03-30,27.6,84.0,3.0,7.6
