,Tanggal,Tavg,RH_avg,RR,ss
533,2020-06-17,28.0,69.0,0.0,10.3
534,2020-06-18,27.9,69.0,0.0,10.2
535,2020-06-19,27.8,70.0,0.0,10.6
536,2020-06-20,27.4,70.0,0.0,10.1
537,2020-06-21,27.8,68.0,0.0,8.7
538,2020-06-22,27.4,72.0,,6.9
539,2020-06-23,27.1,67.0,0.0,10.9
540,2020-06-24,27.9,62.0,0.0,10.8
541,2020-06-25,26.5,71.0,0.0,10.6
542,2020-06-26,27.0,71.0,0.0,9.9
543,2020-06-27,26.3,77.0,0.0,9.5
544,2020-06-28,27.0,74.0,0.6,6.4
545,2020-06-29,26.5,68.0,0.0,9.8
546,2020-06-30,26.9,71.0,0.0,6.5
547,2020-07-01,26.3,74.0,0.0,10.0
548,2020-07-02,26.6,70.0,0.0,10.7
549,2020-07-03,26.4,69.0,0.0,10.9
550,2020-07-04,27.3,70.0,0.0,10.6
551,2020-07-05,27.0,73.0,0.0,9.2
552,2020-07-06,27.4,70.0,0.3,5.8
553,2020-07-07,27.1,71.0,0.0,2.3
554,2020-07-08,27.2,69.0,0.0,10.7
555,2020-07-09,27.3,72.0,0.0,10.8
556,2020-07-10,26.7,68.0,0.0,10.7
557,2020-07-11,26.7,73.0,0.0,8.8
558,2020-07-12,27.0,70.0,0.0,8.5
559,2020-07-13,27.0,72.0,0.0,10.1
560,2020-07-14,27.5,68.0,0.0,9.1
561,2020-07-15,27.1,63.0,0.0,8.1
562,2020-07-16,26.3,70.0,0.0,10.7
563,2020-07-17,26.5,74.0,0.0,10.5
564,2020-07-18,27.6,72.0,0.0,8.9
565,2020-07-19,27.3,75.0,0.0,8.4
566,2020-07-20,27.8,74.0,0.0,7.7
567,2020-07-21,26.8,73.0,0.0,9.6
568,2020-07-22,27.1,70.0,0.0,10.8
569,2020-07-23,26.5,70.0,0.0,9.7
570,2020-07-24,25.8,66.0,0.0,10.8
572,2020-07-26,25.6,68.0,0.0,10.7
573,2020-07-27,26.1,68.0,0.0,9.5
574,2020-07-28,25.7,70.0,0.0,10.6
575,2020-07-29,25.2,68.0,0.0,10.5
576,2020-07-30,26.1,68.0,0.0,10.5
577,2020-07-31,26.2,69.0,0.0,10.7
578,2020-08-01,25.7,70.0,0.0,10.7
579,2020-08-02,25.1,71.0,0.0,10.7
580,2020-08-03,25.6,75.0,0.0,10.6
581,2020-08-04,26.5,75.0,0.0,9.8
582,2020-08-05,26.2,73.0,0.0,9.6
583,2020-08-06,26.6,70.0,0.0,8.0
584,2020-08-07,25.3,76.0,0.0,9.2
585,2020-08-08,25.6,78.0,0.0,7.2
586,2020-08-09,26.6,76.0,0.0,10.5
587,2020-08-10,27.0,78.0,0.0,10.4
588,2020-08-11,27.5,77.0,0.0,9.7
589,2020-08-12,28.3,77.0,0.0,10.4
590,2020-08-13,27.9,72.0,0.9,10.3
591,2020-08-14,26.9,77.0,0.0,5.1
592,2020-08-15,27.3,78.0,0.0,8.1
593,2020-08-16,27.0,70.0,0.0,10.6
594,2020-08-17,27.6,70.0,0.0,10.2
595,2020-08-18,27.6,65.0,0.0,10.5
596,2020-08-19,27.0,68.0,0.0,10.2
597,2020-08-20,27.1,68.0,0.0,9.7
598,2020-08-21,27.3,68.0,0.0,10.2
599,2020-08-22,27.6,64.0,0.0,10.6
600,2020-08-23,27.3,66.0,0.0,10.5
601,2020-08-24,27.0,74.0,0.0,10.9
602,2020-08-25,27.6,70.0,0.0,10.6
603,2020-08-26,27.5,60.0,0.0,10.9
604,2020-08-27,27.3,66.0,0.0,10.2
605,2020-08-28,27.4,70.0,0.0,10.6
606,2020-08-29,27.9,58.0,0.0,10.5
607,2020-08-30,27.6,57.0,0.0,9.5
608,2020-08-31,27.9,62.0,0.0,10.6
609,2020-09-01,28.5,72.0,0.0,10.2
610,2020-09-02,28.7,69.0,,9.8
611,2020-09-03,28.8,69.0,0.0,9.0
612,2020-09-04,29.8,57.0,0.0,10.1
613,2020-09-05,28.1,71.0,0.0,10.9
614,2020-09-06,28.5,70.0,0.0,10.6
615,2020-09-07,28.8,61.0,0.0,9.8
616,2020-09-08,28.2,71.0,0.0,10.8
617,2020-09-09,27.7,71.0,0.0,10.3
618,2020-09-10,28.1,66.0,0.0,10.5
619,2020-09-11,28.9,60.0,0.0,10.9
620,2020-09-12,28.1,68.0,0.0,10.7
621,2020-09-13,28.4,55.0,0.0,10.6
622,2020-09-14,27.3,65.0,0.0,10.6
623,2020-09-15,27.9,64.0,0.0,9.0
624,2020-09-16,27.8,72.0,0.0,8.8
625,2020-09-17,28.0,70.0,,8.4
626,2020-09-18,28.8,69.0,0.0,10.0
627,2020-09-19,28.6,72.0,0.0,10.0
628,2020-09-20,29.2,72.0,0.0,10.5
629,2020-09-21,29.7,68.0,0.0,10.0
630,2020-09-22,30.0,59.0,0.0,6.8
631,2020-09-23,29.6,63.0,0.0,10.7
632,2020-09-24,28.4,73.0,0.0,10.8
633,2020-09-25,29.6,66.0,0.0,10.1
634,2020-09-26,29.6,66.0,0.0,10.6
635,2020-09-27,30.3,62.0,0.0,10.3
